German,English,Type,Attributes
kommen,come,Verb,0/4 - komme kommst kommt kommen kommt kommen
dürfen,may,Verb,0/4 - darf darfst darf dürfen dürft dürfen
Guten Tag!,Good afternoon!,Phrase,0/4 -
Auf Wiedersehen.,See you again.,Phrase,0/4 -
"Zum Bahnhof, bitte.","To the train station, please",Phrase,0/4 -
"Zum Flughafen, bitte.","To the airport, please.",Phrase,0/4 -
"Zur Post, bitte.","To the Post office, please.",Phrase,0/4 -
Gern.,Gladly.,Phrase,1/4 -
Das macht 10 Euro,This costs 10 Euro.,Phrase,0/4 -
"Hier, bitte.","Here, please.",Phrase,0/4 -
Danke.,Thanks.,Phrase,0/4 -
Entschuldigung.,Excuse me.,Phrase,0/4 -
Wann fährt ein Zug nach London ab?,When does a train to London depart?,Phrase,0/4 -
Um elf Uhr.,At eleven o'clock.,Phrase,0/4 -
Um fünf vor elf.,At five to eleven.,Phrase,0/4 -
Um zehn nach elf.,At ten past eleven.,Phrase,0/4 -
Gleis sechs.,Track six.,Phrase,1/4 -
"Wie spät ist es, bitte?","What time is it, please?",Phrase,0/4 -
Es ist zehn Uhr.,It is ten o'clock.,Phrase,0/4 -
Danke schön.,Thank you.,Phrase,0/4 -
Das ist aber sehr nett.,But that's very nice.,Phrase,0/4 -
Gute Reise!,Have a good trip!,Phrase,1/4 -
Wie geht es Ihnen?,How are you?,Phrase,0/4 -
Darf ich vorstellen?,May I introduce?,Phrase,0/4 -
Freut mich.,Pleased to meet you.,Phrase,0/4 -
Angenehm.,Pleasant.,Phrase,0/4 -
Woher kommen Sie?,Where do you come from?,Phrase,0/4 -
Ich komme aus Großbritannien.,I come from the UK.,Phrase,0/4 -
